,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
86116,404,382,8,226,Tnfrsf21,122,0.99998176,
86117,1690,542,8,226,S1pr2,157,0.9629134,
86118,1674,1207,8,226,Marcksl1,56,0.99999285,
86119,1051,1018,8,226,Cd3e,68,0.99999857,
86120,1320,863,8,226,Slc51a,1,0.9973596,
86121,1365,88,8,226,background,266,0.9932272,
86122,758,1335,8,226,background,266,0.99833786,
86123,1574,407,8,226,Sdc1,92,1.0,
86124,742,1456,8,226,Sdc1,92,0.99883264,
86125,685,1136,8,226,Neat1,49,1.0,
86126,1251,567,8,226,background,266,0.96884257,
86127,1058,1459,8,226,Lpar3,137,0.81178015,
86128,1140,910,8,226,Ffar3,129,0.9051475,
86129,1058,597,8,226,background,266,0.9619744,
86130,875,345,8,226,Txndc5,5,0.93496346,
86131,612,1312,8,226,Neat1,49,0.9039118,
86132,1761,1139,8,226,Apob,45,0.99917054,
86133,935,332,8,226,background,266,0.99885213,
86134,612,1489,8,226,H2-Eb1,104,0.99716455,
86135,1654,409,8,226,background,266,0.68675923,
86136,688,940,8,226,Slc51a,1,0.99999857,
86137,1010,159,8,226,Blank-09,250,0.9673515,
86138,1639,1240,8,226,Apob,45,0.98667485,
86139,1220,1002,8,226,background,266,0.7183017,
86140,1599,1328,8,226,S1pr2,157,0.8526251,
86141,1647,767,8,226,Gpbar1,124,0.7740705,
86142,1560,1214,8,226,background,266,0.98114794,
86143,647,479,8,226,Ccnl2,47,0.64072186,
86144,864,994,8,226,H2-Eb1,104,0.9999989,
86145,660,719,8,226,S1pr5,160,0.5842202,
86146,738,1565,8,226,Slc51a,1,0.8826866,
86147,887,313,8,226,Blank-07,248,0.64709365,
86148,1366,379,8,226,Taar7d,218,0.5439535,
86149,1055,601,8,226,background,266,0.9981614,
86150,768,1534,8,226,Slc51a,1,0.9998554,
86151,1601,1386,8,226,Slc51a,1,0.8741773,
86152,1710,580,8,226,Slc5a1,50,0.8307612,
86153,431,424,8,226,Cps1,4,0.5647632,
86154,1651,910,8,226,Ptger4,153,0.5855389,
86155,645,588,8,226,Net1,46,0.99407876,
86156,1012,179,8,226,Chrm1,173,0.5966199,
86157,1292,470,8,226,Kiss1r,228,0.88345087,
86158,1339,841,8,226,Slc51a,1,1.0,
86159,1932,487,8,226,Htr1f,199,0.98946184,
86160,1762,272,8,226,Slc5a1,50,0.99386626,
86161,1858,355,8,226,Apob,45,0.99661046,
86162,135,490,8,226,background,266,0.94663435,
86163,603,1156,8,226,Fzd5,167,0.8347,
86164,986,1389,8,226,H2-Eb1,104,0.95699704,
86165,742,1265,8,226,Ptprcap,83,0.9439042,
86166,997,572,8,226,Neat1,49,0.9932209,
86167,1570,456,8,226,Slc51a,1,0.99999166,
86168,653,1060,8,226,Sdc1,92,0.99429554,
86169,1592,1221,8,226,Slc51a,1,1.0,
86170,35,618,8,226,Sdc1,92,0.7631565,
86171,1290,612,8,226,S1pr2,157,0.6519971,
86172,1082,506,8,226,Icos,79,0.9084367,
86173,1333,455,8,226,Slc51a,1,0.9958261,
86174,1705,1194,8,226,Apob,45,0.82234854,
86175,1565,1278,8,226,Sdc1,92,0.83305633,
86176,689,1620,8,226,Mpo,98,0.6028939,
86177,899,1473,8,226,Net1,46,0.9525164,
86178,1241,540,8,226,Slc51a,1,1.0,
86179,1196,213,8,226,S1pr2,157,0.50253874,
86180,1912,290,8,226,background,266,0.99686974,
86181,1183,773,8,226,background,266,0.5548467,
86182,1231,718,8,226,Neat1,49,0.9780251,
86183,1237,952,8,226,background,266,0.9138195,
86184,1393,309,8,226,Marcksl1,56,0.593455,
86185,1874,1274,8,226,Vim,58,0.7933441,
86186,1708,519,8,226,Slc5a1,50,0.99849963,
86187,722,1358,8,226,background,266,0.96242344,
86188,1702,1517,8,226,background,266,0.9993156,
86189,683,629,8,226,Net1,46,0.9997638,
86190,1586,574,8,226,Maoa,2,0.99748176,
86191,1791,398,8,226,Slc5a1,50,1.0,
86192,1237,901,8,226,Blank-01,242,0.7427658,
86193,915,622,8,226,Adgrf5,23,0.9984054,
86194,758,385,8,226,background,266,0.67975205,
86195,950,666,8,226,Taar7a,212,0.65422595,
86196,1653,569,8,226,background,266,0.83416146,
86197,988,1533,8,226,Ada,48,0.97215617,
86198,1812,1410,8,226,background,266,0.8383479,
86199,1961,1260,8,226,Apob,45,0.99656624,
86200,624,459,8,226,Txndc5,5,0.64505816,
86201,1321,361,8,226,background,266,0.97724617,
86202,1738,262,8,226,Blank-07,248,0.54316384,
86203,851,354,8,226,C1qb,110,0.8270411,
86204,1710,759,8,226,Taar7a,212,0.65563995,
86205,757,704,8,226,S1pr2,157,0.7935246,
86206,901,325,8,226,background,266,0.98743725,
86207,1054,1321,8,226,S1pr2,157,0.7310036,
